Combined_ID,Year,How.happy.do.you.feel.right.now,How.satisfied.are.you.with.your.life.in.general,How.satisfied.are.you.with.Somerville.as.a.place.to.live,In.general..how.similar.are.you.to.other.people.you.know,When.making.decisions..are.you.more.likely.to.seek.advice.or.decide.for.yourself,How.satisfied.are.you.with.your.neighborhood,How.proud.are.you.to.be.a.Somerville.resident,How.would.you.rate.the.following..The.availability.of.information.about.city.services,How.would.you.rate.the.following..The.availability.of.affordable.housing,How.would.you.rate.the.following..The.cost.of.housing,How.would.you.rate.the.following..The.overall.quality.of.public.schools.in.your.community,How.would.you.rate.the.following..The.overall.quality.of.public.schools,How.would.you.rate.the.following..The.beauty.or.physical.setting,How.would.you.rate.the.following..The.beauty.or.physical.setting.of.Somerville,How.would.you.rate.the.following..The.effectiveness.of.the.local.police,How.would.you.rate.the.following..Your.trust.in.the.local.police,How.would.you.rate.the.following..The.maintenance.of.streets..sidewalks..and..squares,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night,How.safe.do.you.feel.walking.in.your.community.at.night,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood,How.satisfied.are.you.with.the.appearance.of.parks.in.your.neighborhood,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood,What.is.your.sex,What.is.your.gender,Age,Marital.status,What.language..other.than.English..do.you.speak.at.home,What.is.your.race,Are.you.of.Hispanic..Latino..or.Spanish.origin,What.is.your.race.or.ethnicity,Do.you.have.children.age.18.or.younger.who.live.with.you,Describe.your.housing.status.in.Somerville,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years,How.long.have.you.lived.here,What.is.your.annual.household.income,What.neighborhood.do.you.live.in,Are.you.a.student,Ward,Precinct,How.anxious.did.you.feel.yesterday,How.satisfied.are.you.with.the.quality.and.number.of.transportation.options.available.to.you,Do.you.feel.the.City.is.headed.in.the.right.direction.or.is.it.on.the.wrong.track,How.safe.do.you.feel.crossing.a.busy.street.in.Somerville,How.convenient.is.it.for.you.to.get.where.you.want.to.go,How.satisfied.are.you.with.the.condition.of.your.housing,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years.yes.why,What.is.your.primary.mode.of.transportation,Which.of.the.following.have.you.used.in.the.past.month.to.get.around,Language,What.languages.do.you.speak.at.home
7016,2017,10,10,10,,,10,10,5,,5,,3,,,,5,,5,5,7,,10,,10,NA,Female,6599974,NA,NA,NA,NA,Black/African American,No,999,No,21 years or more,"$75,000 to $99,999",NA,No,NA,NA,9,10,NA,,,,NA,NA,NA,English,999
7017,2017,8,8,8,,,8,8,2,,2,,2,,,,4,,4,4,7,,7,,7,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,19993 years,"$100,000 to $149,999",NA,No,NA,NA,5,5,NA,,,,NA,NA,NA,English,English
7018,2017,8,8,8,,,8,6,3,,1,,3,,,,4,,4,5,7,,8,,8,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,49997 years,"$75,000 to $99,999",NA,No,NA,NA,5,9,NA,,,,NA,NA,NA,English,English
7019,2017,7,6,8,,,7,7,4,,3,,2,,,,4,,4,5,6,,7,,7,NA,Female,3599944,NA,NA,NA,NA,White,No,Own,No,1199915 years,"$75,000 to $99,999",NA,No,NA,NA,8,4,NA,,,,NA,NA,NA,English,English
7020,2017,8,8,10,,,10,10,5,,5,,5,,,,5,,5,5,8,,10,,9,NA,Male,5599964,NA,NA,NA,NA,Black/African American,No,Rent,No,899910 years,"$50,000 to 74,999",NA,No,NA,NA,3,7,NA,,,,NA,NA,NA,English,English
7021,2017,7,7,8,,,8,7,2,,1,,999,,,,3,,3,4,9,,9,,9,NA,Female,3599944,NA,NA,NA,NA,White,No,Rent,Yes,49997 years,999,NA,No,NA,NA,6,8,NA,,,,NA,NA,NA,English,English
7022,2017,6,7,8,,,7,8,5,,3,,999,,,,4,,3,5,4,,4,,7,NA,Female,2599934,NA,NA,NA,NA,White,No,Own,No,19993 years,"$100,000 to $149,999",NA,No,NA,NA,6,4,NA,,,,NA,NA,NA,English,English
7023,2017,9,9,8,,,8,8,4,,2,,4,,,,3,,4,4,9,,9,,9,NA,Male,2599934,NA,NA,NA,NA,Hispanic/Latino,Yes,Rent,999,19993 years,"$75,000 to $99,999",NA,No,NA,NA,7,9,NA,,,,NA,NA,NA,Spanish,English;Spanish
7024,2017,8,9,7,,,5,6,4,,1,,3,,,,1,,4,5,9,,9,,9,NA,Female,2599934,NA,NA,NA,NA,White,Yes,Rent,Yes,19993 years,"$75,000 to $99,999",NA,No,NA,NA,4,9,NA,,,,NA,NA,NA,English,English;Spanish
7025,2017,9,9,9,,,10,8,5,,3,,3,,,,4,,2,5,8,,9,,5,NA,Female,2599934,NA,NA,NA,NA,White,No,Own,No,49997 years,"$150,000 or more",NA,No,NA,NA,9,5,NA,,,,NA,NA,NA,English,English
7026,2017,10,10,3,,,3,8,4,,1,,2,,,,5,,1,4,6,,4,,5,NA,Male,3599944,NA,NA,NA,NA,White,Yes,Own,Yes,21 years or more,"$150,000 or more",NA,No,NA,NA,6,10,NA,,,,NA,NA,NA,English,English
7027,2017,9,8,10,,,7,10,4,,3,,3,,,,3,,3,3,5,,8,,8,NA,Female,3599944,NA,NA,NA,NA,Asian;White,No,Rent,Yes,49997 years,"$50,000 to 74,999",NA,No,NA,NA,8,7,NA,,,,NA,NA,NA,English,English
7028,2017,7,7,6,,,7,7,4,,1,,999,,,,4,,1,999,7,,7,,999,NA,Male,5599964,NA,NA,NA,NA,White,No,Rent,Yes,49997 years,"$75,000 to $99,999",NA,No,NA,NA,9,7,NA,,,,NA,NA,NA,English,English
7029,2017,9,8,9,,,7,9,4,,2,,999,,,,2,,3,4,9,,4,,10,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,49997 years,"$50,000 to 74,999",NA,No,NA,NA,7,9,NA,,,,NA,NA,NA,English,English
7030,2017,9,8,9,,,9,10,5,,1,,4,,,,3,,3,5,8,,9,,10,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,49997 years,"$25,000 to $49,999",NA,No,NA,NA,10,7,NA,,,,NA,NA,NA,English,English
7031,2017,5,5,7,,,7,7,4,,1,,4,,,,5,,5,5,8,,8,,8,NA,Female,3599944,NA,NA,NA,NA,White,Yes,Rent,Yes,21 years or more,"$25,000 to $49,999",NA,No,NA,NA,6,8,NA,,,,NA,NA,NA,English,English
7032,2017,6,6,6,,,9,6,3,,1,,3,,,,4,,4,4,6,,6,,6,NA,Female,75 or older,NA,NA,NA,NA,White,No,Rent,No,21 years or more,"$10,000 to $24,999",NA,No,NA,NA,6,8,NA,,,,NA,NA,NA,English,English
7033,2017,8,8,8,,,4,10,5,,1,,4,,,,4,,3,5,8,,9,,9,NA,Male,2599934,NA,NA,NA,NA,White,No,Rent,Yes,19993 years,"$100,000 to $149,999",NA,No,NA,NA,6,8,NA,,,,NA,NA,NA,English,English
7034,2017,9,8,8,,,8,6,3,,2,,999,,,,999,,2,4,9,,7,,8,NA,Male,2599934,NA,NA,NA,NA,White,No,Rent,Yes,Less than a year,"$50,000 to 74,999",NA,No,NA,NA,7,9,NA,,,,NA,NA,NA,English,English
7035,2017,9,5,6,,,6,8,5,,1,,4,,,,4,,3,5,10,,9,,10,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,999,49997 years,"$75,000 to $99,999",NA,No,NA,NA,4,10,NA,,,,NA,NA,NA,English,English
7036,2017,9,10,10,,,10,9,4,,1,,2,,,,5,,5,4,9,,9,,9,NA,Female,2599934,NA,NA,NA,NA,White,Yes,Rent,No,19993 years,999,NA,No,NA,NA,8,9,NA,,,,NA,NA,NA,English,English;Portugese;German
7037,2017,7,8,9,,,8,9,4,,2,,3,,,,3,,2,5,7,,999,,4,NA,non binary female,5599964,NA,NA,NA,NA,White,No,Own,No,21 years or more,"$10,000 to $24,999",NA,No,NA,NA,4,4,NA,,,,NA,NA,NA,English,English
7038,2017,8,8,1,,,8,1,4,,4,,999,,,,4,,4,999,8,,8,,8,NA,Male,4599954,NA,NA,NA,NA,999,No,Own,Yes,1199915 years,"$75,000 to $99,999",NA,No,NA,NA,8,8,NA,,,,NA,NA,NA,English,English
7039,2017,9,7,9,,,10,9,3,,3,,4,,,,5,,4,4,9,,9,,8,NA,Female,5599964,NA,NA,NA,NA,Black/African American,No,Rent,Yes,49997 years,"$25,000 to $49,999",NA,No,NA,NA,8,9,NA,,,,NA,NA,NA,English,English
7040,2017,5,1,5,,,10,8,1,,999,,999,,,,5,,3,3,8,,8,,1,NA,Female,75 or older,NA,NA,NA,NA,White,No,Own,No,21 years or more,999,NA,No,NA,NA,999,4,NA,,,,NA,NA,NA,English,English
7041,2017,10,10,10,,,10,10,5,,1,,3,,,,4,,4,5,9,,9,,10,NA,Male,3599944,NA,NA,NA,NA,White,Yes,Own,No,899910 years,"$150,000 or more",NA,No,NA,NA,2,10,NA,,,,NA,NA,NA,English,Italian
7042,2017,5,8,9,,,9,6,4,,999,,3,,,,3,,4,4,8,,8,,8,NA,Female,5599964,NA,NA,NA,NA,Black/African American;White,No,Own,No,21 years or more,"$150,000 or more",NA,No,NA,NA,1,9,NA,,,,NA,NA,NA,English,English;Portugese;French
7043,2017,9,9,9,,,9,9,4,,3,,3,,,,3,,4,4,999,,999,,999,NA,999,999,NA,NA,NA,NA,999,999,999,999,999,999,NA,999,NA,NA,9,999,NA,,,,NA,NA,NA,English,999
7044,2017,8,8,9,,,9,10,5,,4,,5,,,,5,,5,5,9,,9,,9,NA,Female,5599964,NA,NA,NA,NA,999,No,Rent,No,21 years or more,"$150,000 or more",NA,No,NA,NA,8,9,NA,,,,NA,NA,NA,English,English
7045,2017,10,10,8,,,10,999,5,,1,,3,,,,5,,4,4,10,,10,,10,NA,(Checked both Male and Female),2599934,NA,NA,NA,NA,White,No,Rent,Yes,49997 years,999,NA,No,NA,NA,10,10,NA,,,,NA,NA,NA,999,English
7046,2017,7,8,8,,,4,6,5,,3,,999,,,,999,,2,4,7,,2,,5,NA,both male and female checked,2599934,NA,NA,NA,NA,White,No,Rent,No,Less than a year,"$100,000 to $149,999",NA,No,NA,NA,4,6,NA,,,,NA,NA,NA,English,English
7047,2017,8,8,9,,,9,8,4,,2,,3,,,,4,,3,4,9,,8,,8,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,899910 years,"$50,000 to 74,999",NA,No,NA,NA,7,7,NA,,,,NA,NA,NA,English,English
7048,2017,10,10,10,,,10,10,5,,3,,999,,,,5,,4,999,10,,8,,8,NA,Female,6599974,NA,NA,NA,NA,White,No,Own,No,21 years or more,"$25,000 to $49,999",NA,No,NA,NA,10,10,NA,,,,NA,NA,NA,English,999
7049,2017,6,6,8,,,8,8,4,,2,,3,,,,5,,4,3,8,,6,,8,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,49997 years,"$50,000 to 74,999",NA,No,NA,NA,4,4,NA,,,,NA,NA,NA,English,English
7050,2017,7,7,6,,,6,7,4,,3,,999,,,,4,,2,4,8,,5,,6,NA,Male,5599964,NA,NA,NA,NA,White,No,Rent,No,1699920 years,"$100,000 to $149,999",NA,999,NA,NA,9,7,NA,,,,NA,NA,NA,English,English
7051,2017,8,7,9,,,9,10,4,,2,,3,,,,1,,2,5,8,,9,,9,NA,Genderqueer,2599934,NA,NA,NA,NA,White,No,Rent,No,49997 years,"$50,000 to 74,999",NA,No,NA,NA,8,10,NA,,,,NA,NA,NA,English,English
7052,2017,7,8,9,,,9,10,5,,2,,3,,,,4,,4,5,8,,8,,7,NA,Female,5599964,NA,NA,NA,NA,Semitic,No,Own,No,21 years or more,"$75,000 to $99,999",NA,No,NA,NA,9,10,NA,,,,NA,NA,NA,English,English
7053,2017,9,8,9,,,9,9,3,,2,,1,,,,5,,5,5,9,,9,,8,NA,Male,2599934,NA,NA,NA,NA,999,No,Rent,No,Less than a year,999,NA,No,NA,NA,4,9,NA,,,,NA,NA,NA,English,English;Tamil
7054,2017,7,8,6,,,9,9,5,,1,,3,,,,5,,4,4,10,,4,,4,NA,Male,3599944,NA,NA,NA,NA,White,No,Rent,No,19993 years,"$100,000 to $149,999",NA,No,NA,NA,10,7,NA,,,,NA,NA,NA,English,English
7055,2017,6,6,8,,,6,7,4,,2,,999,,,,4,,4,5,8,,8,,8,NA,Female,4599954,NA,NA,NA,NA,White,No,Rent,999,19993 years,"$75,000 to $99,999",NA,No,NA,NA,8,7,NA,,,,NA,NA,NA,English,English
7056,2017,6,7,8,,,7,9,3,,2,,3,,,,3,,3,5,5,,6,,7,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,49997 years,"$25,000 to $49,999",NA,Yes,NA,NA,6,5,NA,,,,NA,NA,NA,English,English
7057,2017,1,1,1,,,2,1,1,,1,,999,,,,5,,1,999,1,,1,,1,NA,Female,6599974,NA,NA,NA,NA,White,No,Own,No,21 years or more,"$50,000 to 74,999",NA,No,NA,NA,9,999,NA,,,,NA,NA,NA,Portugese,Portugese
7058,2017,8,6,8,,,10,10,3,,1,,999,,,,999,,3,5,9,,4,,8,NA,both make and female checked,2599934,NA,NA,NA,NA,White,No,Rent,Yes,49997 years,"$100,000 to $149,999",NA,No,NA,NA,6,10,NA,,,,NA,NA,NA,English,English
7059,2017,8,8,8,,,9,9,4,,1,,999,,,,4,,3,4,7,,8,,8,NA,Female,4599954,NA,NA,NA,NA,White,No,Rent,No,49997 years,"$50,000 to 74,999",NA,No,NA,NA,5,7,NA,,,,NA,NA,NA,999,English
7060,2017,10,10,10,,,10,10,5,,2,,3,,,,5,,3,5,10,,6,,7,NA,Female,5599964,NA,NA,NA,NA,Hispanic/Latino;White,No,Rent,No,1699920 years,"$25,000 to $49,999",NA,No,NA,NA,6,10,NA,,,,NA,NA,NA,Portugese,Portugese
7061,2017,8,10,9,,,8,9,4,,2,,3,,,,4,,3,5,6,,7,,8,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,49997 years,"Less than $10,000",NA,Yes,NA,NA,10,7,NA,,,,NA,NA,NA,English,English
7062,2017,8,9,9,,,9,7,3,,3,,3,,,,4,,4,4,10,,8,,9,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,Yes,19993 years,"$75,000 to $99,999",NA,No,NA,NA,8,9,NA,,,,NA,NA,NA,English,English
7063,2017,5,5,5,,,7,5,3,,1,,3,,,,1,,3,3,5,,5,,5,NA,Female,6599974,NA,NA,NA,NA,White,No,Own,No,21 years or more,"$75,000 to $99,999",NA,No,NA,NA,3,1,NA,,,,NA,NA,NA,999,English
7064,2017,10,10,10,,,1,999,1,,1,,1,,,,5,,1,5,10,,1,,1,NA,Female,6599974,NA,NA,NA,NA,White,No,Rent,No,49997 years,999,NA,No,NA,NA,10,10,NA,,,,NA,NA,NA,999,English
7065,2017,8,8,5,,,7,6,3,,1,,3,,,,2,,1,4,6,,8,,8,NA,Male,2599934,NA,NA,NA,NA,White,No,Rent,Yes,49997 years,999,NA,No,NA,NA,8,7,NA,,,,NA,NA,NA,English,999
7066,2017,10,10,8,,,8,8,999,,999,,999,,,,999,,999,999,9,,8,,10,NA,Female,3599944,NA,NA,NA,NA,White,No,Own,No,19993 years,"$150,000 or more",NA,No,NA,NA,9,10,NA,,,,NA,NA,NA,English,English
7067,2017,4,5,3,,,5,5,2,,1,,4,,,,3,,4,5,1,,4,,6,NA,Female,3599944,NA,NA,NA,NA,Asian,Yes,Rent,Yes,1699920 years,"$25,000 to $49,999",NA,No,NA,NA,4,6,NA,,,,NA,NA,NA,English,English;Bengali
7068,2017,9,8,8,,,10,10,4,,1,,4,,,,4,,4,5,10,,9,,5,NA,Female,4599954,NA,NA,NA,NA,White,Yes,Own,No,1199915 years,"$100,000 to $149,999",NA,No,NA,NA,7,9,NA,,,,NA,NA,NA,English,English
7069,2017,1,9,1,,,1,1,1,,1,,3,,,,3,,1,3,1,,5,,5,NA,Female,4599954,NA,NA,NA,NA,White,No,Own,Yes,21 years or more,"$50,000 to 74,999",NA,No,NA,NA,10,5,NA,,,,NA,NA,NA,English,English
7070,2017,9,8,8,,,8,8,4,,4,,4,,,,4,,2,4,8,,8,,8,NA,Male,2599934,NA,NA,NA,NA,White,No,Rent,Yes,19993 years,"$75,000 to $99,999",NA,No,NA,NA,10,3,NA,,,,NA,NA,NA,English,English
7071,2017,6,6,9,,,7,10,3,,1,,999,,,,5,,4,5,10,,8,,8,NA,Female,6599974,NA,NA,NA,NA,White,No,Rent,No,1699920 years,"$25,000 to $49,999",NA,999,NA,NA,8,9,NA,,,,NA,NA,NA,999,English
7072,2017,2,2,3,,,6,3,3,,1,,2,,,,2,,4,5,5,,5,,6,NA,Female,4599954,NA,NA,NA,NA,999,Yes,Rent,999,1699920 years,999,NA,No,NA,NA,1,3,NA,,,,NA,NA,NA,English,999
7073,2017,10,10,8,,,8,8,4,,2,,2,,,,3,,4,3,9,,6,,8,NA,Male,4599954,NA,NA,NA,NA,White,Yes,Own,No,1199915 years,"$150,000 or more",NA,No,NA,NA,10,9,NA,,,,NA,NA,NA,English,English
7074,2017,9,8,10,,,8,10,4,,3,,4,,,,5,,5,4,10,,8,,9,NA,Male,4599954,NA,NA,NA,NA,"Arabic, French",Yes,Rent,No,19993 years,"$25,000 to $49,999",NA,999,NA,NA,10,8,NA,,,,NA,NA,NA,English,999
7075,2017,7,7,8,,,9,10,4,,3,,4,,,,5,,5,4,10,,10,,10,NA,Male,3599944,NA,NA,NA,NA,Indian American,No,Own,No,49997 years,"$150,000 or more",NA,999,NA,NA,7,3,NA,,,,NA,NA,NA,English,English
7076,2017,8,8,9,,,9,10,4,,1,,3,,,,4,,4,5,9,,10,,10,NA,Female,3599944,NA,NA,NA,NA,White,No,Rent,No,1199915 years,"$50,000 to 74,999",NA,No,NA,NA,8,10,NA,,,,NA,NA,NA,English,English
7077,2017,8,6,6,,,6,6,4,,4,,4,,,,4,,4,4,6,,6,,6,NA,Female,5599964,NA,NA,NA,NA,Black/African American,No,Rent,Yes,1699920 years,"$25,000 to $49,999",NA,No,NA,NA,6,6,NA,,,,NA,NA,NA,English,Haitian Creole
7078,2017,5,5,5,,,5,5,3,,3,,3,,,,3,,3,3,7,,7,,7,NA,Male,6599974,NA,NA,NA,NA,999,No,Rent,999,21 years or more,"$25,000 to $49,999",NA,No,NA,NA,5,7,NA,,,,NA,NA,NA,Haitian Creole,Haitian Creole
7079,2017,10,8,999,,,5,7,3,,2,,3,,,,2,,3,3,3,,8,,8,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,Yes,Less than a year,"$25,000 to $49,999",NA,No,NA,NA,9,9,NA,,,,NA,NA,NA,English,English
7080,2017,3,10,5,,,7,4,3,,3,,3,,,,3,,3,4,6,,4,,4,NA,Both female and male checked,6599974,NA,NA,NA,NA,White,No,Rent,Yes,19993 years,"$10,000 to $24,999",NA,999,NA,NA,8,5,NA,,,,NA,NA,NA,English,999
7081,2017,8,8,9,,,8,10,4,,1,,999,,,,999,,4,3,10,,8,,9,NA,Male,2599934,NA,NA,NA,NA,White,No,Rent,No,49997 years,"$150,000 or more",NA,No,NA,NA,8,8,NA,,,,NA,NA,NA,English,English
7082,2017,9,9,9,,,9,10,4,,5,,3,,,,3,,3,4,9,,9,,8,NA,Male,999,NA,NA,NA,NA,Black/African American,No,Own,999,21 years or more,999,NA,No,NA,NA,10,8,NA,,,,NA,NA,NA,English,English;Haitian Creole;French
7083,2017,8,9,10,,,10,10,5,,3,,4,,,,5,,5,5,10,,10,,10,NA,Female,5599964,NA,NA,NA,NA,White,No,Own,No,21 years or more,"$100,000 to $149,999",NA,No,NA,NA,10,9,NA,,,,NA,NA,NA,English,English
7084,2017,9,9,5,,,6,7,5,,1,,999,,,,3,,2,5,6,,4,,2,NA,Female,4599954,NA,NA,NA,NA,White,No,Own,999,49997 years,"$100,000 to $149,999",NA,No,NA,NA,4,10,NA,,,,NA,NA,NA,English,English
7085,2017,5,7,10,,,10,10,4,,2,,3,,,,4,,4,3,10,,10,,9,NA,Male,75 or older,NA,NA,NA,NA,White,No,Own,No,21 years or more,"$25,000 to $49,999",NA,No,NA,NA,4,5,NA,,,,NA,NA,NA,English,English
7086,2017,10,10,10,,,10,10,5,,5,,5,,,,5,,5,5,10,,10,,10,NA,Female,6599974,NA,NA,NA,NA,Black/African American,999,Own,No,21 years or more,"$25,000 to $49,999",NA,No,NA,NA,10,10,NA,,,,NA,NA,NA,English,999
7087,2017,6,7,7,,,8,8,5,,1,,999,,,,5,,3,5,10,,5,,5,NA,Female,5599964,NA,NA,NA,NA,White,No,Rent,Yes,19993 years,"$100,000 to $149,999",NA,No,NA,NA,3,7,NA,,,,NA,NA,NA,English,English
7088,2017,6,9,9,,,8,9,4,,3,,4,,,,4,,3,4,8,,6,,8,NA,Female,5599964,NA,NA,NA,NA,Hispanic/Latino,No,Own,No,999,"$150,000 or more",NA,999,NA,NA,8,9,NA,,,,NA,NA,NA,English,999
7089,2017,8,7,7,,,7,7,5,,2,,3,,,,4,,4,4,8,,7,,7,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,Yes,49997 years,"$150,000 or more",NA,No,NA,NA,6,7,NA,,,,NA,NA,NA,English,English
7090,2017,7,7,8,,,8,7,4,,1,,4,,,,3,,3,5,10,,5,,7,NA,Male,2599934,NA,NA,NA,NA,White,No,Rent,No,19993 years,"$25,000 to $49,999",NA,Yes,NA,NA,7,7,NA,,,,NA,NA,NA,English,English
7091,2017,7,7,9,,,10,9,4,,4,,4,,,,3,,4,5,9,,10,,9,NA,Male,1899924,NA,NA,NA,NA,White,No,Rent,Yes,Less than a year,"$10,000 to $24,999",NA,999,NA,NA,5,9,NA,,,,NA,NA,NA,English,English
7092,2017,7,6,7,,,6,6,4,,3,,3,,,,4,,4,4,5,,5,,6,NA,Female,4599954,NA,NA,NA,NA,White,No,Own,No,1699920 years,"$100,000 to $149,999",NA,No,NA,NA,5,6,NA,,,,NA,NA,NA,English,English
7093,2017,10,8,8,,,8,8,3,,3,,999,,,,3,,4,4,8,,8,,8,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,Less than a year,"$100,000 to $149,999",NA,No,NA,NA,10,8,NA,,,,NA,NA,NA,English,English
7094,2017,10,8,9,,,8,9,3,,2,,5,,,,5,,5,5,9,,7,,9,NA,Female,4599954,NA,NA,NA,NA,Asian,No,Rent,No,49997 years,"$50,000 to 74,999",NA,Yes,NA,NA,6,8,NA,,,,NA,NA,NA,English,English
7095,2017,8,9,8,,,9,7,3,,3,,3,,,,3,,4,3,9,,9,,9,NA,Male,2599934,NA,NA,NA,NA,White,No,Rent,Yes,Less than a year,"$10,000 to $24,999",NA,Yes,NA,NA,9,7,NA,,,,NA,NA,NA,Portugese,English
7096,2017,999,999,999,,,999,999,999,,999,,999,,,,999,,999,999,999,,999,,999,NA,Female,6599974,NA,NA,NA,NA,White,No,Rent,No,21 years or more,"Less than $10,000",NA,No,NA,NA,999,999,NA,,,,NA,NA,NA,English,English
7097,2017,10,10,8,,,8,6,5,,4,,999,,,,5,,3,5,8,,8,,10,NA,Female,3599944,NA,NA,NA,NA,White,No,Own,No,49997 years,"$150,000 or more",NA,No,NA,NA,10,9,NA,,,,NA,NA,NA,English,English
7098,2017,9,9,8,,,9,9,5,,1,,3,,,,4,,4,4,8,,9,,9,NA,Male,75 or older,NA,NA,NA,NA,White,No,Rent,No,21 years or more,"$10,000 to $24,999",NA,No,NA,NA,10,8,NA,,,,NA,NA,NA,English,English
7099,2017,8,8,8,,,8,8,3,,2,,4,,,,3,,2,3,7,,8,,8,NA,Female,75 or older,NA,NA,NA,NA,White,No,Own,No,21 years or more,"$75,000 to $99,999",NA,No,NA,NA,10,7,NA,,,,NA,NA,NA,English,999
7100,2017,6,8,5,,,9,7,5,,3,,3,,,,5,,3,5,4,,9,,6,NA,Female,75 or older,NA,NA,NA,NA,White,No,Senior,No,21 years or more,"$10,000 to $24,999",NA,No,NA,NA,4,9,NA,,,,NA,NA,NA,English,English
7101,2017,4,4,7,,,7,9,4,,1,,3,,,,3,,3,5,8,,8,,8,NA,Male,3599944,NA,NA,NA,NA,White,No,Rent,No,49997 years,"$100,000 to $149,999",NA,No,NA,NA,3,7,NA,,,,NA,NA,NA,English,English
7102,2017,6,5,7,,,6,6,3,,1,,4,,,,1,,2,3,9,,7,,7,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,Yes,19993 years,"$10,000 to $24,999",NA,No,NA,NA,4,4,NA,,,,NA,NA,NA,999,English
7103,2017,8,8,8,,,8,8,3,,2,,3,,,,4,,4,4,8,,7,,9,NA,Female,1899924,NA,NA,NA,NA,White,No,Rent,No,19993 years,"$100,000 to $149,999",NA,No,NA,NA,5,9,NA,,,,NA,NA,NA,English,English
7104,2017,9,8,9,,,8,8,4,,2,,999,,,,1,,5,5,7,,10,,10,NA,Female,2599934,NA,NA,NA,NA,White,No,Rent,No,19993 years,"$10,000 to $24,999",NA,Yes,NA,NA,4,7,NA,,,,NA,NA,NA,English,English
7105,2017,7,7,8,,,10,8,4,,1,,3,,,,5,,3,5,8,,8,,8,NA,Female,5599964,NA,NA,NA,NA,White,No,Own,No,21 years or more,"$100,000 to $149,999",NA,No,NA,NA,7,8,NA,,,,NA,NA,NA,English,English
7106,2017,7,7,6,,,6,5,2,,2,,3,,,,4,,3,2,2,,4,,6,NA,Female,1899924,NA,NA,NA,NA,White,No,Rent,Yes,Less than a year,"$50,000 to 74,999",NA,Yes,NA,NA,5,8,NA,,,,NA,NA,NA,English,English
7107,2017,10,10,8,,,6,8,1,,3,,999,,,,4,,1,999,5,,8,,8,NA,Male,3599944,NA,NA,NA,NA,White,No,Rent,Yes,19993 years,"$25,000 to $49,999",NA,No,NA,NA,10,1,NA,,,,NA,NA,NA,English,English
7108,2017,8,9,9,,,9,9,4,,3,,2,,,,3,,4,4,9,,9,,7,NA,Female,3599944,NA,NA,NA,NA,Asian,No,Own,No,1199915 years,999,NA,No,NA,NA,4,7,NA,,,,NA,NA,NA,English,English
7109,2017,7,7,9,,,9,9,5,,1,,3,,,,3,,3,5,9,,8,,9,NA,Male,3599944,NA,NA,NA,NA,White,No,Rent,Yes,899910 years,"$100,000 to $149,999",NA,No,NA,NA,5,6,NA,,,,NA,NA,NA,English,English
7110,2017,7,9,10,,,10,10,4,,2,,4,,,,4,,4,5,7,,8,,8,NA,Female,3599944,NA,NA,NA,NA,White,Yes,Own,No,899910 years,"$75,000 to $99,999",NA,No,NA,NA,8,9,NA,,,,NA,NA,NA,English,English;Russian
7111,2017,8,8,6,,,8,7,5,,1,,3,,,,5,,3,5,8,,8,,9,NA,Female,3599944,NA,NA,NA,NA,White,Yes,Rent,Yes,1199915 years,999,NA,No,NA,NA,7,4,NA,,,,NA,NA,NA,English,English
7112,2017,9,9,9,,,7,10,3,,3,,3,,,,5,,4,4,7,,7,,9,NA,Female,6599974,NA,NA,NA,NA,White,No,Own,No,21 years or more,"$75,000 to $99,999",NA,No,NA,NA,7,9,NA,,,,NA,NA,NA,999,English
7113,2017,8,9,9,,,9,8,5,,4,,3,,,,3,,4,5,9,,8,,9,NA,Male,5599964,NA,NA,NA,NA,999,No,Own,No,49997 years,"$150,000 or more",NA,No,NA,NA,9,8,NA,,,,NA,NA,NA,English,English
7114,2017,5,4,6,,,8,8,3,,1,,3,,,,2,,3,5,4,,9,,10,NA,Female,3599944,NA,NA,NA,NA,White,No,Rent,No,899910 years,"$100,000 to $149,999",NA,No,NA,NA,4,3,NA,,,,NA,NA,NA,English,English
